# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.420636      0.11279752
     0.420729      0.10917692
     0.420822      0.10721279
     0.420915      0.11451321
     0.421009      0.12271268
     0.421102      0.12684931
     0.421195      0.12205330
     0.421288      0.12171692
     0.421382      0.12386683
     0.421475      0.12130574
     0.421568      0.11776208
     0.421661      0.12935473
     0.421754      0.13525184
     0.421848      0.12836088
     0.421941      0.12692774
     0.422034      0.12701015
     0.422127      0.12686699
     0.422220      0.12852262
     0.422314      0.12622731
     0.422407      0.12516954
     0.422500      0.12598972
     0.422593      0.12310041
     0.422687      0.12127241
     0.422780      0.13056905
     0.422873      0.13905562
     0.422966      0.14016347
     0.423059      0.14043927
     0.423153      0.14426094
     0.423246      0.14743921
     0.423339      0.14267518
     0.423432      0.14139282
     0.423526      0.14156387
     0.423619      0.14019523
     0.423712      0.13927236
     0.423805      0.14610266
     0.423898      0.14280471
     0.423992      0.13255800
     0.424085      0.12923349
     0.424178      0.13889436
     0.424271      0.14767577
     0.424365      0.14482124
     0.424458      0.14430994
     0.424551      0.14319342
     0.424644      0.15054249
     0.424737      0.15976495
     0.424831      0.16975629
     0.424924      0.17231683
     0.425017      0.17294448
     0.425110      0.17095404
     0.425204      0.16557334
     0.425297      0.16453097
     0.425390      0.16749967
     0.425483      0.16581587
     0.425576      0.16100318
     0.425670      0.16792660
     0.425763      0.17085405
     0.425856      0.16590532
     0.425949      0.16716526
     0.426042      0.17367633
     0.426136      0.18300575
     0.426229      0.18644813
     0.426322      0.18848467
     0.426415      0.19443057
     0.426509      0.19160983
     0.426602      0.17752575
     0.426695      0.17919535
     0.426788      0.18611752
     0.426881      0.19037788
     0.426975      0.18212115
     0.427068      0.17774428
     0.427161      0.18853971
     0.427254      0.19478460
     0.427348      0.19058030
     0.427441      0.18910367
     0.427534      0.18676354
     0.427627      0.18589325
     0.427720      0.19098285
     0.427814      0.19418397
     0.427907      0.18868974
     0.428000      0.18758537
     0.428093      0.19420332
     0.428186      0.19646232
     0.428280      0.20418672
     0.428373      0.21035055
     0.428466      0.21070966
     0.428559      0.20445310
     0.428653      0.20290767
     0.428746      0.20417880
     0.428839      0.20385947
     0.428932      0.19530803
     0.429025      0.19766395
     0.429119      0.21435078
     0.429212      0.22105130
     0.429305      0.21479924
     0.429398      0.21537040
     0.429492      0.21456454
     0.429585      0.20783979
     0.429678      0.21177040
     0.429771      0.21743566
     0.429864      0.21594782
     0.429958      0.21186580
     0.430051      0.22212007
     0.430144      0.22260590
     0.430237      0.20809699
     0.430331      0.20550647
     0.430424      0.21226396
     0.430517      0.21820792
     0.430610      0.22023290
     0.430703      0.22169947
     0.430797      0.22211791
     0.430890      0.21921346
     0.430983      0.22004317
     0.431076      0.22513522
     0.431170      0.22061733
     0.431263      0.22569263
     0.431356      0.23782495
     0.431449      0.23553098
     0.431542      0.22598384
     0.431636      0.22126293
     0.431729      0.21917076
     0.431822      0.21741029
     0.431915      0.22228017
     0.432008      0.22930228
     0.432102      0.22416760
     0.432195      0.21754912
     0.432288      0.22541665
     0.432381      0.23308313
     0.432475      0.22716098
     0.432568      0.22637800
     0.432661      0.23679649
     0.432754      0.24622008
     0.432847      0.24318926
     0.432941      0.23317295
     0.433034      0.22294270
