# wavelength(um) flux(mJy)
5.170869999999999633e-01 5.231820000000000359e-01
5.174579999999999735e-01 5.438950000000000173e-01
5.178289999999999837e-01 5.506170000000000231e-01
5.181999999999999940e-01 5.773540000000000338e-01
5.185710000000000042e-01 5.914690000000000225e-01
5.189420000000000144e-01 5.928379999999999761e-01
5.193130000000000246e-01 6.235330000000000039e-01
5.196840000000000348e-01 6.351550000000000251e-01
5.200550000000000450e-01 6.456840000000000357e-01
5.204260000000000552e-01 6.757199999999999873e-01
5.207969999999999544e-01 6.641610000000000014e-01
5.211679999999999646e-01 6.848950000000000315e-01
5.215389999999999748e-01 6.827060000000000350e-01
5.219099999999999850e-01 6.732759999999999856e-01
5.222809999999999953e-01 6.901199999999999557e-01
5.226520000000000055e-01 6.864980000000000526e-01
5.230230000000000157e-01 7.131779999999999786e-01
5.233940000000000259e-01 7.083540000000000392e-01
5.237650000000000361e-01 7.202159999999999673e-01
5.241360000000000463e-01 7.222760000000000291e-01
5.245069999999999455e-01 7.151830000000000132e-01
5.248779999999999557e-01 7.078440000000000287e-01
5.252489999999999659e-01 7.004939999999999500e-01
5.256199999999999761e-01 7.123930000000000540e-01
5.259909999999999863e-01 7.065010000000000456e-01
5.263619999999999965e-01 7.300759999999999472e-01
5.267330000000000068e-01 7.135500000000000176e-01
5.271040000000000170e-01 7.138670000000000293e-01
5.274750000000000272e-01 7.083120000000000527e-01
5.278460000000000374e-01 7.154139999999999944e-01
5.282170000000000476e-01 7.018090000000000162e-01
5.285879999999999468e-01 7.131089999999999929e-01
5.289589999999999570e-01 6.947889999999999899e-01
5.293299999999999672e-01 6.856719999999999482e-01
5.297009999999999774e-01 6.817889999999999784e-01
5.300719999999999876e-01 6.761740000000000528e-01
5.304429999999999978e-01 6.714379999999999793e-01
5.308140000000000081e-01 6.539890000000000425e-01
5.311850000000000183e-01 6.475729999999999542e-01
5.315560000000000285e-01 6.420320000000000471e-01
5.319270000000000387e-01 6.376309999999999478e-01
5.322980000000000489e-01 6.330179999999999696e-01
5.326689999999999481e-01 6.093079999999999607e-01
5.330399999999999583e-01 6.049980000000000357e-01
5.334109999999999685e-01 5.888229999999999853e-01
5.337819999999999787e-01 5.781709999999999905e-01
5.341529999999999889e-01 5.733000000000000318e-01
5.345239999999999991e-01 5.479159999999999586e-01
5.348950000000000093e-01 5.441740000000000466e-01
5.352660000000000196e-01 5.201329999999999565e-01
5.356370000000000298e-01 5.041179999999999550e-01
5.360080000000000400e-01 5.019029999999999880e-01
5.363799999999999679e-01 4.782310000000000172e-01
5.367499999999999494e-01 4.715739999999999932e-01
5.371219999999999883e-01 4.460120000000000196e-01
5.374919999999999698e-01 4.328500000000000125e-01
5.378629999999999800e-01 4.225900000000000212e-01
5.382339999999999902e-01 4.024679999999999924e-01
5.386050000000000004e-01 3.893090000000000162e-01
5.389760000000000106e-01 3.789950000000000263e-01
5.393480000000000496e-01 3.613649999999999918e-01
5.397180000000000311e-01 3.402169999999999916e-01
5.400899999999999590e-01 3.310080000000000244e-01
5.404609999999999692e-01 3.272470000000000101e-01
5.408309999999999507e-01 3.085180000000000144e-01
5.412029999999999896e-01 2.889939999999999731e-01
5.415729999999999711e-01 2.743129999999999735e-01
5.419450000000000101e-01 2.646240000000000259e-01
5.423160000000000203e-01 2.503549999999999942e-01
5.426870000000000305e-01 2.467729999999999924e-01
5.430580000000000407e-01 2.372589999999999977e-01
5.434290000000000509e-01 2.179270000000000096e-01
5.437999999999999501e-01 2.163660000000000028e-01
5.441709999999999603e-01 2.170690000000000119e-01
5.445419999999999705e-01 2.094699999999999895e-01
5.449129999999999807e-01 1.983749999999999958e-01
5.452839999999999909e-01 1.981070000000000053e-01
5.456550000000000011e-01 1.911390000000000033e-01
5.460260000000000113e-01 1.907059999999999866e-01
5.463970000000000216e-01 1.928459999999999896e-01
5.467680000000000318e-01 1.870670000000000111e-01
5.471390000000000420e-01 1.964799999999999880e-01
5.475100000000000522e-01 1.860169999999999879e-01
5.478809999999999514e-01 1.828349999999999975e-01
5.482519999999999616e-01 1.740800000000000125e-01
5.486229999999999718e-01 1.781230000000000036e-01
5.489939999999999820e-01 1.869560000000000111e-01
5.493649999999999922e-01 1.748089999999999922e-01
5.497360000000000024e-01 1.763450000000000017e-01
5.501070000000000126e-01 1.639879999999999949e-01
5.504780000000000229e-01 1.697240000000000137e-01
5.508490000000000331e-01 1.656100000000000072e-01
5.512200000000000433e-01 1.751099999999999879e-01
5.515910000000000535e-01 1.578710000000000113e-01
5.519619999999999527e-01 1.612699999999999967e-01
5.523329999999999629e-01 1.660449999999999982e-01
5.527039999999999731e-01 1.661690000000000111e-01
5.530749999999999833e-01 1.600219999999999976e-01
5.534459999999999935e-01 1.582860000000000100e-01
5.538170000000000037e-01 1.527370000000000116e-01
5.541880000000000139e-01 1.503460000000000074e-01
5.545590000000000241e-01 1.468430000000000013e-01
5.549300000000000344e-01 1.433369999999999922e-01
5.553010000000000446e-01 1.398270000000000068e-01
5.556720000000000548e-01 1.376229999999999953e-01
5.560429999999999540e-01 1.370069999999999899e-01
5.564139999999999642e-01 1.285630000000000106e-01
5.567849999999999744e-01 1.220210000000000045e-01
5.571559999999999846e-01 1.187740000000000046e-01
5.575269999999999948e-01 1.276019999999999932e-01
5.578980000000000050e-01 1.218250000000000027e-01
5.582690000000000152e-01 1.077570000000000056e-01
5.586400000000000254e-01 1.101479999999999959e-01
5.590110000000000356e-01 1.146559999999999940e-01
5.593820000000000459e-01 1.044449999999999962e-01
5.597529999999999450e-01 9.968440000000000634e-02
5.601239999999999553e-01 1.050940000000000069e-01
5.604949999999999655e-01 9.866650000000000420e-02
5.608659999999999757e-01 9.554740000000000455e-02
5.612369999999999859e-01 9.467200000000000615e-02
5.616079999999999961e-01 8.617089999999999472e-02
5.619790000000000063e-01 8.985669999999999769e-02
5.623500000000000165e-01 8.329899999999999805e-02
5.627210000000000267e-01 7.692590000000000539e-02
5.630920000000000369e-01 7.092669999999999531e-02
5.634630000000000472e-01 6.864370000000000194e-02
5.638339999999999463e-01 6.963419999999999332e-02
5.642049999999999566e-01 6.845080000000000608e-02
5.645769999999999955e-01 6.897720000000000240e-02
5.649469999999999770e-01 6.457279999999999964e-02
5.653190000000000159e-01 6.246220000000000244e-02
5.656889999999999974e-01 5.592749999999999805e-02
5.660610000000000364e-01 5.975189999999999668e-02
5.664310000000000178e-01 5.279149999999999815e-02
5.668029999999999458e-01 5.618920000000000164e-02
5.671730000000000382e-01 5.866419999999999968e-02
5.675449999999999662e-01 5.475830000000000281e-02
5.679149999999999476e-01 5.618410000000000071e-02
5.682859999999999578e-01 5.090019999999999961e-02
5.686579999999999968e-01 5.771140000000000297e-02
5.690290000000000070e-01 5.812900000000000011e-02
5.694000000000000172e-01 5.665540000000000159e-02
5.697710000000000274e-01 5.319410000000000110e-02
5.701420000000000377e-01 5.589829999999999799e-02
5.705130000000000479e-01 5.581409999999999844e-02
5.708839999999999471e-01 5.441290000000000016e-02
5.712549999999999573e-01 5.445479999999999765e-02
5.716259999999999675e-01 5.581320000000000031e-02
5.719969999999999777e-01 6.089610000000000162e-02
5.723679999999999879e-01 6.183940000000000270e-02
5.727389999999999981e-01 6.516929999999999945e-02
5.731100000000000083e-01 5.369229999999999836e-02
5.734810000000000185e-01 6.448959999999999415e-02
5.738520000000000287e-01 5.772080000000000266e-02
5.742230000000000389e-01 5.784260000000000096e-02
5.745940000000000492e-01 5.969340000000000063e-02
5.749649999999999483e-01 7.188250000000000195e-02
5.753359999999999586e-01 7.349870000000000014e-02
5.757069999999999688e-01 7.335959999999999703e-02
5.760779999999999790e-01 7.393260000000000109e-02
5.764489999999999892e-01 8.013209999999999777e-02
5.768199999999999994e-01 8.118599999999999428e-02
5.771910000000000096e-01 8.329689999999999317e-02
5.775620000000000198e-01 9.531159999999999632e-02
5.779330000000000300e-01 9.148449999999999638e-02
5.783040000000000402e-01 9.279099999999999848e-02
5.786750000000000504e-01 1.055880000000000013e-01
