# wavelength(um) flux(mJy)
3.287662480328194636e+00 1.658756090663697502e-01
3.299764090981578857e+00 1.582177234138411326e-01
3.311821481179506144e+00 1.547745226746722047e-01
3.323836080327908782e+00 1.251665448442180473e-01
3.335807928983329340e+00 7.417628599377934506e-02
3.347736801216033342e+00 3.807532114942505791e-02
3.359624468145768095e+00 1.511915476609015062e-02
3.371469986912082550e+00 9.515230381980616797e-03
3.383274368549593181e+00 1.878056592394398289e-02
3.395038315655305006e+00 2.009405849040167558e-02
3.406761294445441290e+00 2.019212540552640239e-02
3.418444442184889631e+00 2.097391719640118862e-02
3.430088109326324020e+00 2.139596151925521328e-02
3.441691951372145564e+00 1.937759177350067974e-02
3.453256968617764766e+00 2.036840859104280602e-02
3.464783689024880431e+00 1.822920804726344338e-02
3.476271691895156390e+00 1.574377836643401155e-02
3.487721589741877626e+00 1.632526874710785170e-02
3.499134449709608852e+00 1.628368930894625796e-02
3.510509705658989343e+00 1.500008197221757399e-02
3.521847650969804455e+00 1.361599007551394028e-02
3.533149209778586375e+00 1.320747409569472501e-02
3.544414850427497488e+00 1.247350267575629383e-02
3.555644068385780621e+00 1.255708789999136939e-02
3.566837274642680189e+00 1.552325838472104307e-02
3.577995335555997691e+00 1.597937125078593285e-02
3.589118655649197187e+00 1.237004765025439233e-02
3.600206893489299897e+00 1.146676806469863405e-02
3.611260465543662423e+00 1.180579452285191421e-02
3.622279683125277483e+00 1.423127386009425191e-02
3.633265243684984380e+00 1.520977007266569904e-02
3.644217398611474756e+00 1.510588928282826163e-02
3.655135860007171722e+00 1.224703694363741061e-02
3.666021191016120451e+00 1.183331390745660967e-02
3.676873425965500264e+00 1.296715198755912096e-02
3.687693288692894811e+00 1.254764224404337526e-02
3.698481019103109446e+00 1.440778278437605288e-02
3.709236854990990651e+00 1.570711160564244174e-02
3.719960633605257527e+00 1.549564906259505957e-02
3.730652909024037012e+00 1.380738353191980280e-02
3.741313664330288002e+00 1.670868133968517535e-02
3.751943393707008578e+00 1.996318279641694921e-02
3.762542432076696475e+00 2.109560377948787452e-02
3.773111004396880741e+00 2.077575968543644153e-02
3.783649333650899838e+00 2.202481852538931695e-02
3.794157640865968961e+00 2.216091984892881728e-02
3.804635987563408595e+00 2.357155245591253945e-02
3.815084602549295489e+00 2.357216463307711465e-02
3.825503868097039906e+00 2.415900499427589901e-02
3.835893927522895375e+00 2.357139793954234411e-02
3.846254886259007133e+00 2.215852126790786303e-02
3.856587149663758929e+00 2.067607746021505807e-02
3.866890925062640871e+00 2.188940670629547711e-02
3.877166417972290891e+00 2.380708689406466419e-02
3.887413832117740053e+00 2.154625434462333414e-02
3.897633369449259089e+00 2.201882655459670365e-02
3.907825230159278629e+00 2.019809678326644348e-02
3.917989612699283697e+00 1.816031453747793054e-02
3.928126713796192160e+00 1.528253352633116013e-02
3.938236728469100445e+00 5.052740127478585856e-03
3.948319850045578949e+00 3.752922402481619654e-04
3.958376270177961676e+00 8.011197136383069184e-03
3.968406178859411604e+00 1.337978846120280695e-02
3.978409764440048235e+00 1.513765183742352312e-02
3.988387213642831775e+00 1.710279857138100046e-02
3.998338711579193294e+00 1.823800611167108315e-02
4.008264441764787023e+00 1.992259758110129925e-02
4.018164586135001493e+00 2.042047640786738213e-02
4.028039325060305487e+00 2.168381256433035004e-02
4.037888837361329308e+00 2.324408609452660243e-02
4.047713300324321750e+00 2.705620847106173302e-02
4.057512889715902737e+00 2.924869674847263915e-02
4.067287779797869263e+00 3.232195254269569495e-02
4.077038143342121224e+00 3.153148760376200954e-02
4.086764151645062348e+00 3.047669647419308167e-02
4.096465974542215172e+00 3.328072078440582476e-02
4.106143780422427447e+00 3.824363342778284991e-02
4.115797736242249094e+00 3.311421993998434066e-02
4.125427802847425163e+00 3.268175853742544268e-02
4.135034302540398166e+00 2.267023663646043630e-02
4.144617430506843725e+00 2.554613485133065687e-02
4.154177156234997170e+00 3.346207004154577030e-02
4.163713727520558017e+00 3.126419724571402603e-02
4.173227394097058784e+00 3.360964847320705579e-02
4.182718313623431605e+00 3.323288222216462529e-02
4.192186642430965726e+00 2.778367423668368086e-02
4.201632535536384161e+00 3.299259057462725075e-02
4.211056146654871490e+00 3.332010626925069330e-02
4.220457454073816450e+00 3.551457360256186913e-02
4.229836566601254511e+00 3.370030068259457362e-02
4.239193649128716324e+00 3.402194957266577863e-02
4.248528809955995023e+00 3.260460777145003652e-02
4.257842414138227838e+00 3.531530880750057000e-02
4.267134608153127395e+00 3.465922305605436543e-02
4.276405537260369982e+00 3.435157750875481725e-02
4.285655302446791381e+00 3.328848584662281312e-02
4.294883652141018082e+00 3.565767835502584027e-02
4.304090895710569242e+00 3.541850215164855237e-02
4.313277184398267572e+00 3.393950368517421184e-02
4.322442894538441216e+00 2.865715141400495061e-02
4.331588164612418801e+00 2.217611019056384136e-02
4.340713129543267712e+00 2.168279679693353029e-02
4.349817377515038608e+00 2.359859677565453312e-02
4.358901204351636416e+00 2.596077498384830387e-02
4.367964925759277861e+00 2.791662289811452577e-02
4.377008862192721672e+00 2.274714234026124771e-02
4.386033145722296744e+00 2.450822191446917764e-02
4.395037494781086629e+00 2.678307284081744497e-02
